Match,BPrev,BStreak,B_Age,B_Age Group,B_Height,B_ID,B_Weight,RPrev,RStreak,R_Age,R_Age_Group,R_Height,R_ID,R_Weight,winner,Blue Impact,Red Impact Score
835,2,1,38,30's,185,368,84,2,2,32,30's,190,1294,84,red,6193,1335
836,3,0,30,30's,182,2507,70,2,0,28,20's,177,1092,70,red,8372,1416
837,3,0,31,30's,190,1742,93,2,0,44,40's,190,175,93,blue,9646,1338
838,2,0,38,30's,170,750,65,2,0,38,30's,170,366,65,blue,2422,6409
839,4,2,33,30's,182,2087,84,3,3,28,20's,185,2224,84,blue,5352,8560
840,1,0,33,30's,190,2252,84,2,0,28,20's,198,2064,84,blue,1048,5866
841,2,2,33,30's,187,507,93,2,0,38,30's,185,346,84,red,4224,11259
842,1,1,31,30's,167,1737,65,7,1,36,30's,175,1706,61,red,1114,18919
843,2,2,24,20's,167,2326,61,1,0,27,20's,172,1979,61,red,5837,1387
844,4,2,32,30's,182,1422,77,3,2,30,30's,182,2107,77,red,10488,5217
845,2,1,30,30's,157,2372,52,1,1,28,20's,167,2345,52,red,7976,1134
846,0,0,27,20's,175,2153,65,0,0,38,30's,170,750,65,red,0,0
847,0,0,27,20's,170,2177,61,0,0,29,20's,177,2192,61,blue,0,0
848,1,0,26,20's,165,2298,56,1,0,28,20's,167,2303,56,blue,3084,1001
849,0,0,28,20's,182,2216,65,0,0,35,30's,177,1930,65,blue,0,0
850,6,0,25,20's,175,2070,84,4,0,33,30's,175,947,84,blue,22456,22293
851,1,1,28,20's,185,2775,84,6,2,32,30's,185,1991,84,red,4412,13304
852,1,1,33,30's,172,2013,70,2,2,33,30's,180,1815,70,red,1966,4622
853,0,0,34,30's,182,2559,77,1,1,30,30's,182,668,77,red,0,4545
854,0,0,40,40's,182,1015,119,0,0,40,40's,190,272,109,blue,0,0
855,0,0,31,30's,167,1056,56,0,0,35,30's,160,1253,56,red,0,0
856,0,0,34,30's,167,1882,61,0,0,34,30's,167,1243,61,blue,0,0
857,0,0,38,30's,190,2810,93,1,1,27,20's,190,2768,93,red,0,3078
858,4,1,28,20's,170,2150,61,3,0,33,30's,165,2133,61,blue,11527,8811
859,0,0,36,30's,182,1209,77,1,0,34,30's,170,646,77,blue,0,792
860,5,1,30,30's,180,2230,65,4,0,29,20's,170,1993,65,red,6782,4015
861,2,0,32,30's,167,2010,56,2,0,38,30's,167,1170,61,blue,2773,7875
862,2,1,38,30's,180,1918,70,1,1,29,20's,177,2426,70,red,5862,161
863,2,0,29,20's,177,1875,77,2,0,32,30's,180,1543,77,red,4021,5890
864,1,1,30,30's,172,1622,70,7,1,31,30's,180,2214,65,red,4442,24091
865,3,0,34,30's,185,2005,84,3,0,30,30's,187,1550,84,red,12062,7646
866,0,0,31,30's,182,538,77,3,2,32,30's,175,532,70,red,0,5440
867,3,0,29,20's,213,649,120,4,0,37,30's,193,1431,119,blue,7003,2915
868,0,0,28,20's,185,2224,84,0,0,32,30's,185,2225,77,blue,0,0
869,0,0,32,30's,160,2769,52,1,1,32,30's,175,1744,65,red,0,1937
